Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
the-pre-party-flask-box,The St. Patrick's Day Adventure Pre-Party Flask | 0.23L,"<p>Bring extra luck with the St. Patrick’s Day collection. An iridescent shimmer of Shamrock Green and gold accents shine as you move. </p>
<p>The 8-ounce Pre-Party Flask has a slim silhouette for easy stowing. A wider opening means faster refills, no funnel needed. Stainless steel construction and a tethered cap provide leakproof storage and durability you can depend on.<br></p>
<p>Maximum of 20 units allowed per order. Feel free to combine colors!</p>",Stanley 1913,,,,TRUE,Color,Shamrock Green,,,,,10-01564-133,0,,0,deny,manual,28.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0513/8114/1694/files/Web_PNG_Square-ThePrePartyFlask8OZ-ShamrockGreen-Front.png?v=1738941131,1,,,,,,,,,,,,,,,,,,,,,,,,active
the-pre-party-flask-box,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0513/8114/1694/files/Web_PNG_Square-ThePrePartyFlask8OZ-ShamrockGreen31.png?v=1738941131,,,,,,,,,,,,,,,,,,,,,,,,,
the-pre-party-flask-box,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0513/8114/1694/files/Web_PNG_Square-ThePrePartyFlask8OZ-ShamrockGreen-HeroBack.png?v=1738941131,,,,,,,,,,,,,,,,,,,,,,,,,
the-everyday-tumbler-box,The St. Patrick's Day Everyday Tumbler | 0.47L,"<p>Bring extra luck with the St. Patrick’s Day collection. An iridescent shimmer of Shamrock Green and gold accents shine as you move.</p>
<p>With a faceted design, the 0.47L Everyday Tumbler adds a touch of elegance. Just press to secure the Tritan™ drink-thru lid and keep your drink at the right temperature for even longer. A silicone base means softer landings, and the tumbler fits in your car cupholder when you’re on the go.<br></p>",Stanley 1913,,,,TRUE,Color,Shamrock Green,,,,,10-13590-002,0,,0,deny,manual,35.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0513/8114/1694/files/Web_PNG_Square-TheEverydayTumbler16OZ-ShamrockGreen-Front.png?v=1738941537,1,,,,,,,,,,,,,,,,,,,,,,,,active
the-everyday-tumbler-box,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0513/8114/1694/files/Web_PNG_Square-TheEverydayTumbler16OZ-ShamrockGreen-HeroBack.png?v=1738941537,,,,,,,,,,,,,,,,,,,,,,,,,
the-everyday-tumbler-box,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0513/8114/1694/files/Web_PNG_Square-TheEverydayTumbler16OZ-ShamrockGreen-HeroOpen.png?v=1738941537,,,,,,,,,,,,,,,,,,,,,,,,,
the-quencher-h2-0-flowstate™-tumbler-1-2l,The St. Patrick's Day Quencher H2.0 FlowState™ Tumbler | 1.2L,"<p>Bring extra luck with the St. Patrick’s Day collection. An iridescent shimmer of Shamrock Green and gold accents shine as you move. With an emerald-tinted lid and straw to match, you’re ready to celebrate with a bit o’ the Irish.</p>
<p>Made with recycled stainless steel, the 1.2L Quencher H2.0 FlowState™ Tumbler keeps your drink ice cold for hours, and the lid features three sip settings: one for the reusable straw, one without and the option to rotate the silicone cover shut. It fits right in your car cupholder when you’re on the go.</p>
<p>*Not Eligible For Promotions or Resell. Multiple &amp;Large Orders Are Subject To Cancellation.</p>",Stanley 1913,,Water Bottles,"Collection, Water Bottles",TRUE,Color,Shamrock Green,,,,,10-12552-184,0,,0,deny,manual,52.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0513/8114/1694/files/Web_PNG_Square-TheQuencherH2.OFlowStateTumbler40OZ-ShamrockGreen-Front.png?v=1738940318,1,,,,,,,,,,,,,,,,,,,,,,,,active
the-quencher-h2-0-flowstate™-tumbler-1-2l,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0513/8114/1694/files/Web_PNG_Square-TheQuencherH2.OFlowStateTumbler40OZ-ShamrockGreen-HeroBack.png?v=1738940318,,,,,,,,,,,,,,,,,,,,,,,,,
the-quencher-h2-0-flowstate™-tumbler-1-2l,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0513/8114/1694/files/Web_PNG_Square-TheQuencherH2.OFlowStateTumbler40OZ-ShamrockGreen-LidDetail.png?v=1738940318,,,,,,,,,,,,,,,,,,,,,,,,,
valentines-day-quencher-h2o-flowstate-tumbler-0-8l,The Valentine’s Day Quencher H2.O FlowState™ Tumbler | 0.8L,"<p class=""MsoNormal""><span style=""font-size: 11.0pt; font-family: 'Arial',sans-serif;"">Share the love with the sweetest Valentine’s Day Quencher. Wrapped in luscious berry hues, it’s perfect for gifting and even includes a heart-shaped card. Pops of iridescent metallics and a berry-tinted lid and straw make it as indulgent as the treat it’s named for.</span></p>
<p class=""MsoNormal""><span style=""font-size: 11.0pt; font-family: 'Arial',sans-serif;"">The 0.8L Quencher H2.0 FlowState™ Tumbler keeps your drink ice cold for hours, thanks to double-wall vacuum insulation. The versatile FlowState™ 3-position lid has three sip settings: one for the reusable straw, one without and the option to rotate the silicone cover shut. It fits right in your car cupholder when you’re headed to your heart-day celebration.</span></p>
<p class=""MsoNormal""><span style=""font-size: 11.0pt; font-family: 'Arial',sans-serif;"">*Not Eligible For Promotions or Resell. Multiple &amp; Large Orders Are Subject To Cancellation.</span></p>",Stanley 1913,,Water Bottles,"Cold Drinks, Collection, Drinkware, Hydration, Quencher, Shop, Tumblers, Water Bottles, Workday, Youth",TRUE,Color,Berry Truffle,,,,,10-10829-392,0,,0,deny,manual,47.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0513/8114/1694/files/Web_PNG_Square-TheQuencherH2.OFlowState_Tumbler30OZ-BerryTruffle-Front.png?v=1736169498,3,,,,,,,,,,,,,,,,,,,,,,,,active
valentines-day-quencher-h2o-flowstate-tumbler-0-8l,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0513/8114/1694/files/Web_PNG_Square-TheQuencherH2.OFlowState_Tumbler30OZ-BerryTruffle-HeroBack.png?v=1736169498,,,,,,,,,,,,,,,,,,,,,,,,,
valentines-day-quencher-h2o-flowstate-tumbler-0-8l,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0513/8114/1694/files/Web_PNG_Square-TheQuencherH2.OFlowState_Tumbler30OZ-BerryTruffle-LidDetail.png?v=1736169498,,,,,,,,,,,,,,,,,,,,,,,,,
valentines-day-quencher-h20-flowstate-tumbler-1-2l,The Valentine’s Day Quencher H2.0 FlowState™ Tumbler | 1.2L,"<p class=""MsoNormal""><span style=""font-size: 11.0pt; font-family: 'Arial',sans-serif;"">Share the love with the sweetest Valentine’s Day Quencher. Wrapped in luscious berry hues, it’s perfect for gifting and even includes a heart-shaped card. Pops of iridescent metallics and a berry-tinted lid and straw make it as indulgent as the treat it’s named for. </span></p>
<p class=""MsoNormal""><span style=""font-size: 11.0pt; font-family: 'Arial',sans-serif;"">The 1.2L Quencher H2.0 FlowState™ Tumbler keeps your drink ice cold for hours, thanks to double-wall vacuum insulation. The versatile FlowState™ 3-position lid has three sip settings: one for the reusable straw, one without and the option to rotate the silicone cover shut. It fits right in your car cupholder when you’re headed to your heart-day celebration.</span><span style=""font-size: 11.0pt; font-family: 'Arial',sans-serif;""></span></p>
<p class=""MsoNormal""><span style=""font-size: 11.0pt; font-family: 'Arial',sans-serif;"">*Not Eligible For Promotions or Resell. Multiple &amp; Large Orders Are Subject To Cancellation.</span></p>",Stanley 1913,,Water Bottles,"40OZ, Cold Drinks, Collection, Hydration, Limited Edition, Quencher, Tumblers, Water Bottles, Workday, Youth",TRUE,Color,Berry Truffle,,,,,10-10825-396,0,,0,deny,manual,52.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0513/8114/1694/files/Web_PNG_Square-TheQuencherH2.OFlowState_Tumbler40OZ-BerryTruffle-Front.png?v=1736168508,2,,,,,,,,,,,,,,,,,,,,,,,,active
valentines-day-quencher-h20-flowstate-tumbler-1-2l,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0513/8114/1694/files/Web_PNG_Square-TheQuencherH2.OFlowState_Tumbler40OZ-BerryTruffle-HeroBack.png?v=1736168508,,,,,,,,,,,,,,,,,,,,,,,,,
valentines-day-quencher-h20-flowstate-tumbler-1-2l,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0513/8114/1694/files/Web_PNG_Square-TheQuencherH2.OFlowState_Tumbler40OZ-BerryTruffle-LidDetail.png?v=1736168508,,,,,,,,,,,,,,,,,,,,,,,,,
